name	alpha	beta	L	m	T	OBJ	GAP	CPU	Nodes	obj_bound
poi-30-3	1.0	1.33	12.0	2	172.0	1333	0.0	68.5195	3491.0	1333.00
poi-30-3	1.0	1.33	12.0	3	86.0	521	0.0	18.0828	509.0	521.00
poi-30-3	1.0	1.33	12.0	3	172.0	1336	0.0	50.5067	2911.0	1336.00
poi-30-3	1.0	1.33	24.0	1	86.0	718	0.0	200.7950	5097.0	718.00
poi-30-3	1.0	0.67	24.0	2	172.0	0	0.013888888888888888	3623.5250	29020.0	1314.00
poi-30-3	1.0	0.67	24.0	3	172.0	0	0.3465447154471545	3611.0036	36662.0	1325.00
poi-30-3	1.0	0.67	24.0	3	86.0	0	0.06422018348623644	3687.3131	63710.0	580.00
poi-30-3	1.0	1.0	24.0	1	172.0	0	0.011188811188811189	3605.4926	58915.0	1446.00
poi-30-3	1.0	1.0	24.0	2	172.0	0	0.004854368931515024	3642.2260	25948.0	1449.00
poi-30-3	2.0	0.67	12.0	1	86.0	460	0.0	7.7999	202.0	460.00
poi-30-3	2.0	0.67	12.0	1	172.0	1165	0.0	19.2967	246.0	1165.00
poi-30-3	2.0	0.67	12.0	2	86.0	466	0.0	15.0486	295.0	466.00
poi-30-3	2.0	0.67	12.0	2	172.0	1166	0.0	6.8088	334.0	1166.00
poi-30-3	2.0	0.67	12.0	3	86.0	466	0.0	21.1935	408.0	466.00
poi-30-3	2.0	0.67	12.0	3	172.0	1166	0.0	18.8343	478.0	1166.00
poi-30-3	2.0	0.67	24.0	1	86.0	601	0.0	62.5832	1208.0	601.00
poi-30-3	1.0	1.0	24.0	3	86.0	0	0.1483253588516741	3830.0566	54803.0	720.00
poi-30-3	2.0	0.67	24.0	1	172.0	1321	0.0	73.0429	2476.0	1321.00
poi-30-3	2.0	0.67	24.0	2	172.0	1330	0.0	72.5554	1143.0	1330.00
poi-30-3	2.0	0.67	24.0	2	86.0	607	0.0	161.0874	2857.0	607.00
poi-30-3	2.0	0.67	24.0	3	86.0	607	0.0	115.3890	1523.0	607.00
poi-30-3	2.0	1.0	12.0	1	86.0	487	0.0	18.9331	628.0	487.00
poi-30-3	2.0	1.0	12.0	1	172.0	1225	0.0	10.2158	56.0	1225.00
poi-30-3	2.0	0.67	24.0	3	172.0	1330	0.0	101.5391	1751.0	1330.00
