name	alpha	beta	L	m	T	OBJ	GAP	CPU	Nodes	obj_bound
poi-10-2	2.0	1.33	13.0	1	116.0	313	0.0	0.3134	12.0	313.00
poi-10-2	2.0	1.33	13.0	2	58.0	76	0.0	0.0028	0.0	76.00
poi-10-2	2.0	1.33	13.0	2	116.0	313	0.0	0.0812	12.0	313.00
poi-10-2	2.0	1.33	13.0	3	58.0	76	0.0	0.0018	0.0	76.00
poi-10-2	2.0	1.33	13.0	3	116.0	313	0.0	0.0517	12.0	313.00
poi-10-2	2.0	1.33	27.0	1	58.0	76	0.0	0.0035	0.0	76.00
poi-10-2	2.0	1.33	27.0	1	116.0	355	0.0	0.2818	26.0	355.00
poi-10-2	2.0	1.33	27.0	2	58.0	76	0.0	0.0028	0.0	76.00
poi-10-2	2.0	1.33	27.0	2	116.0	355	0.0	0.2147	30.0	355.00
poi-10-2	2.0	1.33	27.0	3	58.0	76	0.0	0.0061	0.0	76.00
poi-10-2	2.0	1.33	27.0	3	116.0	355	0.0	0.2585	87.0	355.00
poi-10-3	1.0	0.67	14.0	1	59.0	0	inf	0.0015	0.0	-inf
poi-10-3	1.0	0.67	14.0	1	119.0	243	0.0	0.2251	3.0	243.00
poi-10-3	1.0	0.67	14.0	2	59.0	0	inf	0.0018	0.0	-inf
poi-10-3	1.0	0.67	14.0	2	119.0	243	0.0	0.0891	6.0	243.00
poi-10-3	1.0	0.67	14.0	3	59.0	0	inf	0.0024	0.0	-inf
poi-10-3	1.0	0.67	14.0	3	119.0	243	0.0	0.1073	3.0	243.00
poi-10-3	1.0	0.67	28.0	1	59.0	0	inf	0.0011	0.0	-inf
poi-10-3	1.0	0.67	28.0	1	119.0	243	0.0	0.0995	9.0	243.00
poi-10-3	1.0	0.67	28.0	2	59.0	0	inf	0.0014	0.0	-inf
poi-10-3	1.0	0.67	28.0	2	119.0	243	0.0	0.1295	9.0	243.00
poi-10-3	1.0	0.67	28.0	3	59.0	0	inf	0.0020	0.0	-inf
poi-10-3	1.0	0.67	28.0	3	119.0	243	0.0	0.1573	18.0	243.00
poi-10-3	1.0	1.0	14.0	1	59.0	0	inf	0.0008	0.0	-inf
poi-10-3	1.0	1.0	14.0	1	119.0	243	0.0	0.0985	7.0	243.00
poi-10-3	1.0	1.0	14.0	2	59.0	0	inf	0.0016	0.0	-inf
poi-10-3	1.0	1.0	14.0	2	119.0	243	0.0	0.3019	9.0	243.00
poi-10-3	1.0	1.0	14.0	3	59.0	0	inf	0.0013	0.0	-inf
poi-10-3	1.0	1.0	14.0	3	119.0	243	0.0	0.2598	12.0	243.00
poi-10-3	1.0	1.0	28.0	1	59.0	0	inf	0.0010	0.0	-inf
poi-10-3	1.0	1.0	28.0	1	119.0	243	0.0	0.0791	9.0	243.00
poi-10-3	1.0	1.0	28.0	2	59.0	0	inf	0.0023	0.0	-inf
poi-10-3	1.0	1.0	28.0	2	119.0	243	0.0	0.2091	7.0	243.00
poi-10-3	1.0	1.0	28.0	3	59.0	0	inf	0.0022	0.0	-inf
poi-10-3	1.0	1.0	28.0	3	119.0	243	0.0	0.2388	9.0	243.00
poi-10-3	1.0	1.33	14.0	1	59.0	0	inf	0.0008	0.0	-inf
