name,alpha,beta,L,m,T,OBJ,GAP,CPU,nodes,obj_bound,root_time,root_obj,root_bound,frac_time,frac_calls,int_time,int_calls,total_cuts,frac_conn,conn,noverlap,0noverlap,proper_noverlap,depot_flyover,synchro,compl_time,y(N),z(H),w(N),LP_time,LP_obj
poi-40-3,2,0.67,13,3,195,1516,0,499.299,779,1516,31.777,1413,1550,0.107355,465,0.308449,43,858,514,288,35,0,0,18,3,195,21,8/300,4,16.425,1603
poi-40-3,2,0.67,27,1,97,930,0,419.543,1163,930,231.338,930,1083,0.092554,682,0.179181,41,560,244,217,80,1,0,9,9,97,12,6/4086,1,837.342,1259
poi-40-3,2,0.67,27,1,195,1688,0,256.471,2597,1688,430.679,1191,1705,0.22233,1667,0.627433,45,1616,662,299,572,6,0,55,22,194,24,13/4086,1,270.444,1751
poi-40-3,2,0.67,27,2,97,1020,0,561.367,8428,1020,103.149,791,1200,0.541872,5272,0.834234,113,1763,756,407,458,14,0,90,38,97,11,12/4086,3,536.135,1317
poi-40-3,2,0.67,27,2,195,1703,0,211.731,191,1703,16.169,320,1706,0.045416,167,0.434493,41,898,154,357,315,1,0,60,11,195,24,14/4086,1,561.267,1751
poi-40-3,2,0.67,27,3,97,1067,0,261.356,3451,1067,515.641,1018,1212,0.268951,2370,0.513436,64,688,226,205,168,4,0,49,36,97,12,13/4086,2,31.345,1317
poi-40-3,2,0.67,27,3,195,1703,0,278.882,1020,1703,129.692,1703,1706,0.186916,800,0.705182,56,1201,423,277,384,4,0,87,26,195,24,15/4086,1,477.256,1751
poi-40-3,2,1,13,1,97,802,0,311.959,684,802,123.779,290,933,0.056879,384,0.174874,43,707,511,131,52,0,0,11,2,97,9,5/300,2,0.414809,999
poi-40-3,2,1,13,1,195,1578,0,579.508,24974,1578,102.119,1405,1699,172.351,14837,0.299196,35,4299,3857,136,276,0,0,29,1,192,20,8/300,5,122.073,1704
poi-40-3,2,1,13,2,97,812,0,411.475,920,812,144.928,451,959,0.097467,556,0.161954,27,794,701,80,10,0,0,0,3,97,9,6/300,3,186.072,999
poi-40-3,2,1,13,2,195,1645,0,120.662,4121,1645,127.572,456,1735,0.364901,2477,0.470637,60,2232,1767,212,214,0,0,37,2,194,19,11/300,3,136.377,1720
poi-40-3,2,1,13,3,97,812,0,582.292,1852,812,141.146,221,974,0.153138,1081,0.261011,42,1191,1026,127,28,0,0,7,3,97,9,6/300,3,204.068,1017
poi-40-3,2,1,13,3,195,1658,0,236.111,3968,1658,125.603,89,1724,0.415926,2689,0.692333,70,2423,1974,156,234,0,0,56,3,195,16,14/300,4,203.246,1730
poi-40-3,2,1,27,1,97,1079,0,790.527,3779,1079,297.847,1079,1307,0.239621,2052,0.249223,59,1215,755,311,121,1,0,13,14,97,12,6/4086,1,10.249,1476
poi-40-3,2,1,27,1,195,1891,0,2242.75,36199,1891,223.583,237,1899,322.268,21618,0.65443,46,4705,3833,197,611,6,0,36,22,195,21,16/4086,1,283.242,1899
poi-40-3,2,1,27,2,97,1268,0,909.782,13835,1268,235.349,1013,1557,0.764823,8031,0.72562,105,1552,725,369,342,12,0,70,34,97,11,12/4086,3,147.917,1670
poi-40-3,2,1,27,2,195,1899,0,826.639,1778,1899,203.809,373,1899,0.641195,1713,0.614636,34,4257,3450,83,636,5,0,70,13,194,15,25/4086,7,226.388,1899
poi-40-3,2,1,27,3,97,1324,0,701.25,7503,1324,139.968,1009,1610,0.585905,5130,0.904381,98,1580,735,257,427,21,0,97,43,97,11,14/4086,2,121.702,1670
poi-40-3,2,1,27,3,195,1899,0,1488.79,4067,1899,361.438,499,1899,106.412,3400,0.808403,50,6234,5061,236,803,6,0,112,16,195,19,21/4086,0,653.805,1899
poi-40-3,2,1.34,13,1,97,880,0,327.472,586,880,177.078,307,1028,0.053401,338,0.158783,35,552,419,116,13,0,0,3,1,97,9,5/300,2,179.677,1039
poi-40-3,2,1.34,13,1,195,1820,0,169.657,4329,1820,173.251,472,1946,0.343932,2497,0.292423,45,1703,1268,187,223,0,0,23,2,194,19,12/300,6,318.293,1929
poi-40-3,2,1.34,13,2,97,923,0,406.935,731,923,163.369,411,1081,0.066724,422,0.18807,32,639,532,72,28,0,0,5,2,97,9,6/300,3,23.649,1108
poi-40-3,2,1.34,13,2,195,1885,0,468.423,4183,1885,191.506,489,1981,0.433647,2899,0.802953,93,3160,2441,162,472,0,0,81,4,195,16,13/300,3,194.596,1971
poi-40-3,2,1.34,13,3,97,923,0,788.117,1771,923,269.053,295,1132,0.172514,1079,0.272533,43,1381,1242,101,30,0,0,6,2,97,9,6/300,3,156.132,1142
poi-40-3,2,1.34,13,3,195,1915,0,23.35,1812,1915,170.988,89,1993,0.216103,1473,0.569588,67,1531,987,220,247,0,0,72,5,195,15,15/300,4,141.238,2005
poi-40-3,2,1.34,27,1,97,1248,0,133.025,7275,1248,423.077,1105,1612,0.41509,3994,0.377567,89,1859,1263,423,135,4,0,17,17,97,10,8/4086,10,183.877,1690
poi-40-3,2,1.34,27,1,195,2248,0,992.337,12304,2248,240.777,1411,2324,14.537,8023,0.492712,63,5132,4279,420,393,2,0,26,12,195,18,18/4086,10,225.178,2333
poi-40-3,2,1.34,27,2,97,1548,0,1063.68,15774,1548,139.066,228,1948,0.878475,9408,0.773016,116,1272,526,336,304,9,0,60,37,97,10,13/4086,3,684.518,2049
poi-40-3,2,1.34,27,2,195,2406,0,417.421,1473,2406,174.027,2312,2423,0.095634,838,0.373017,32,427,0,57,326,1,0,31,12,195,13,25/4086,9,167.363,2410
poi-40-3,2,1.34,27,3,97,1648,0,1222.75,8295,1648,258.793,1397,1993,0.617255,5364,0.831534,107,1499,666,344,347,23,0,74,45,97,7,18/4086,3,137.903,2049
poi-40-3,2,1.34,27,3,195,2430,0,771.708,3457,2430,230.17,2226,2443,0.171424,1948,0.421116,34,468,0,51,365,5,0,43,4,194,11,28/4086,7,234.324,2434
poi-40-4,1,0.67,13,1,103,600,0,7.634,1658,600,129.793,308,809,0.188159,883,0.210432,41,1763,1599,146,6,0,0,5,7,103,12,0/402,0,118.002,903
poi-40-4,1,0.67,13,1,207,1574,0,295.066,1394,1574,0.656913,257,1604,0.09986,808,0.334512,42,699,315,167,166,0,0,38,13,207,29,3/402,0,0.834769,1658
poi-40-4,1,0.67,13,2,103,600,0,108.772,1956,600,455.181,486,801,0.209793,1100,0.266967,45,1593,1435,126,18,0,0,8,6,102,12,0/402,0,232.162,903
poi-40-4,1,0.67,13,2,207,1586,0,3.752,641,1586,247.492,1571,1618,0.060245,395,0.55912,58,448,112,128,134,0,0,58,16,207,29,4/402,0,136.828,1658
poi-40-4,1,0.67,13,3,103,600,0,104.834,1899,600,24.961,253,822,0.209687,1122,0.224259,36,1534,1380,140,4,0,0,3,7,103,12,0/402,0,236.919,903
poi-40-4,1,0.67,13,3,207,1586,0,500.482,2799,1586,114.607,286,1640,0.186122,1720,0.584447,60,615,260,159,111,0,0,63,22,207,29,4/402,0,140.177,1658
poi-40-4,1,0.67,27,1,103,658,0,169.443,6517,658,215.955,574,964,0.576258,4386,0.985529,165,3129,2139,493,313,16,0,87,81,103,10,4/4390,0,550.934,1131
poi-40-4,1,0.67,27,1,207,1525,0.123934,3600.7,31669,1714,454.587,263,1781,600.088,27824,727.771,264,-,-,-,-,-,-,-,-,-,-,-,-,166.984,1812
poi-40-4,1,0.67,27,2,103,706,0,900.98,13122,706,351.611,589,1103,124.091,8390,13.344,153,4025,2703,429,584,32,0,162,115,103,10,6/4390,0,449.748,1274
poi-40-4,1,0.67,27,2,207,1681,0.0416419,3600.29,47177,1751,189.259,1657,1776,69.828,40667,561.726,214,-,-,-,-,-,-,-,-,-,-,-,-,289.879,1812
poi-40-4,1,0.67,27,3,103,729,0,3010.14,76611,729,150.726,878,1180,518.919,49004,375.653,347,8136,5030,511,1613,142,0,594,246,103,10,8/4390,0,-,-
poi-40-4,1,0.67,27,3,207,263,565.779,3600.66,33676,1751,166.136,1446,1780,122.351,30143,585.901,222,-,-,-,-,-,-,-,-,-,-,-,-,360.064,1812
poi-40-4,1,1,13,1,103,635,0,686.201,1407,635,134.324,345,943,0.149879,762,0.104011,23,1501,1409,78,9,0,0,3,2,103,10,3/402,0,20.108,994
poi-40-4,1,1,13,1,207,1644,0,703.887,93692,1644,121.703,481,1778,573.984,50430,116.074,104,5166,3674,211,1102,0,0,153,26,207,25,8/402,9,301.787,1776
poi-40-4,1,1,13,2,103,635,0,230.964,4706,635,282.268,461,942,0.375421,2585,0.160974,44,2769,2580,177,7,0,0,2,3,102,9,4/402,0,280.012,994
