InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest	InsertionTruckCount	InsertionSortieCount
r-125-1	1	1	23	2	151	3865	239.2133796	6391	135.128583	495546680	1963539620
r-125-1	1	1	23	2	303	5883	1238.1349729	6330	700.4357121	879880612	-1768441732
r-125-1	1	1	23	3	151	4242	281.0305534	2343	91.552363	236716236	2058165960
r-125-1	1	1	23	3	303	6064	1517.6031716	2890	560.2483093	434987021	-1139817314
r-125-2	1	1	13	1	153	3084	75.1952813	8924	48.4183771	814223808	81469528
r-125-2	1	1	13	1	307	5355	237.5212228	5081	118.7806919	1341760860	225529235
r-125-2	1	1	13	2	153	3311	57.7649744	4217	26.3747626	446278466	168990200
r-125-2	1	1	13	2	307	5682	297.9703496	6638	165.0147229	1258307872	776322872
r-125-2	1	1	13	3	153	3416	80.5442237	7057	46.9802249	481573133	339659578
r-125-2	1	1	13	3	307	5897	450.3006559	11160	310.6230108	1426231442	1766687841
r-125-2	1	1	26	1	153	3089	93.2351724	5776	49.9466244	570565654	393287132
r-125-2	1	1	26	1	307	5304	403.0916872	4749	191.0821983	1149826251	1345239076
r-125-2	1	1	26	2	153	3513	190.0919822	6570	107.9523353	444508727	1585932697
r-125-2	1	1	26	2	307	5805	1111.7103171	7661	671.5918583	1006423685	-1746870149
r-125-2	1	1	26	3	153	3737	484.782453	11864	344.585671	484377635	-537419324
r-125-2	1	1	26	3	307	6075	1843.3112214	6789	1057.9278671	669313651	1342658981
r-125-3	1	1	12	1	156	3132	27.7179219	42	0.2475246	293774944	22813566
r-125-3	1	1	12	1	312	5014	204.8888779	3803	92.6711535	1166296097	146245304
r-125-3	1	1	12	2	156	3374	51.0363763	3106	20.6355226	391452088	112729456
r-125-3	1	1	12	2	312	5379	272.5041727	6506	156.358791	1166333249	564041612
r-125-3	1	1	12	3	156	3462	57.5811375	3741	25.5804102	367314792	188935783
r-125-3	1	1	12	3	312	5480	176.6410881	2293	57.8246001	639392793	560662575
