InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest	InsertionTruckCount	InsertionSortieCount
r-150-3	1	1	25	1	170	3403	9.6183417	0	0	310727916	7453760
r-150-3	1	1	25	1	340	5635	29.9285973	0	0	787618864	16303243
r-150-3	1	1	25	2	170	3765	10.5634481	0	0	244817466	20751127
r-150-3	1	1	25	2	340	5899	31.7108094	0	0	605165978	44905500
r-150-3	1	1	25	3	170	4059	12.1141803	0	0	194935327	36226911
r-150-3	1	1	25	3	340	5988	35.5608649	0	0	472663797	77011459
r-150-4	1	1	12	1	172	3711	21.5326656	6075	12.0274198	684658212	3827331
r-150-4	1	1	12	1	345	6081	58.4736446	4186	27.612632	1507039195	7429956
r-150-4	1	1	12	2	172	3701	10.1790138	264	0.5508845	251269059	4963273
r-150-4	1	1	12	2	345	6574	34.0293624	427	2.6559057	691054207	13661722
r-150-4	1	1	12	3	172	4307	24.1239219	6688	14.6472523	520220680	20277023
r-150-4	1	1	12	3	345	6721	65.3475006	5224	33.9996189	1176635369	44982818
r-150-4	1	1	24	1	172	3609	12.39016	1157	2.7253616	393523908	9069158
r-150-4	1	1	24	1	345	6090	33.9663865	0	0	810307886	16841930
r-150-4	1	1	24	2	172	3852	11.1663956	305	0.7574523	257976461	20965045
r-150-4	1	1	24	2	345	6541	33.1841856	0	0	602985768	45738429
r-150-4	1	1	24	3	172	4057	12.3241396	178	0.5009134	203807575	34941462
r-150-4	1	1	24	3	345	6731	37.1983752	0	0	476597930	81374325
r-150-5	1	1	12	1	174	3637	12.3061599	1399	2.7931449	395550994	2039088
r-150-5	1	1	12	1	348	6288	63.0223511	5613	33.464529	1664368164	6844348
r-150-5	1	1	12	2	174	4027	11.9241417	1286	2.5516909	304933860	5166040
r-150-5	1	1	12	2	348	6704	40.7453119	1903	11.2312784	869340121	12921053
r-150-5	1	1	12	3	174	4186	13.8615835	2360	4.6510172	309077357	10486470
r-150-5	1	1	12	3	348	6972	61.7162923	5480	32.431708	1177095803	34180608
r-150-5	1	1	25	1	174	3694	12.2659645	1073	2.3801057	379611142	9204690
r-150-5	1	1	25	1	348	6286	30.2592412	0	0	774667703	16710105
r-150-5	1	1	25	2	174	3875	10.5885105	0	0	238560324	18984224
r-150-5	1	1	25	2	348	6716	32.976119	0	0	573533402	45158072
r-150-5	1	1	25	3	174	4144	13.9346917	783	2.1290182	219862553	41030124
r-150-5	1	1	25	3	348	6616	36.3003214	102	0.7328025	451793907	78870515
AverageObj: 3831.78, IterToBest: 2368.94, TimeToBest: 4.09
